City,Country,Year,Index,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Yorkton,Canada,2001-2015,6759,51.213,-102.471,176141.1333,166580.0667,198995.6667,198773.8,229287.7333,217223.5333,226249.9333,212812.1333,204514.2667,204616.4,189247.5333,190615.8
Imperial,USA,2013 & 2015,3898,32.841,-115.571,52.5,52,66.5,75.5,85,89.5,89.5,89,79,76.5,64,55.5
West Bengal,India,2006,49705,23.191,87.823,2.62,3.08,3.29,3.4,3.47,3.59,3.4,3.32,3.18,2.61,2.55,2.62
Perth,Australia,2000-2001,57202,-31.948,115.857,1032,1052,852,541,441,421,440,490,620,883,1103,1103
Beijing,China,2013-2014,57438,39.917,116.404,68356713,57839447,75411003,75921657,80814531,75436217,84623266,80985503,74746867,74301459,74102809,71446374
