Month,AUSTRALIA,CANADA,CHILE,FRANCE,JAPAN,MEXICO,SWEDEN,TURKEY,UNITED STATES
0,233,34,21,145,197,39,104,135,150
1,19857.8125,59700.125,2735.4375,55281.1875,94031.25,19083.4375,15179.8125,15556.1875,350456.375
2,18575.3125,53643.25,2533.875,49307.1875,86591.625,17832.125,13838.4375,14140.3125,310750.625
3,18761.6875,54209.3125,2745.6875,49345.375,88246.3125,20209.8125,14187.375,15019.25,316153.125
4,18026.75,47603.4375,2600.1875,42856.4375,78235.5,20181.0625,12416.25,14071.4375,294659.375
5,18639.1875,45899.8125,2739.125,41190.8125,78109.9375,22051.125,11627.8125,14325.3125,323055.5625
6,18711,44929.4375,2724.25,39348.25,81993.125,22124.375,9956.4375,14603.9375,357089.5
7,19764.8125,48178,2790,40197.25,94881,22387.75,10129.875,16367.1875,393638.5
8,19489.375,48088.75,2737.6875,38071.125,97567.25,22844.0625,10089,16412.5,392785.5
9,18787.9375,44076.9375,2543.5,39182.8125,86090,21185.375,10465,14778.8125,337709.6875
10,18443.625,46927.75,2714.25,43072.8125,80598.0625,20800.6875,12197.875,14361,313453.625
11,18677.5625,50226.875,2676.75,47894.0625,81222.8125,18853.6875,12948.125,14747.5,305232.1875
12,18881.0625,56916,2810.875,53488.4375,90908.1875,18942.6875,14215.875,16114.875,340227.625
