region,goat-fraction
USA,0.306669098670796
Africa_Eastern,0.503347871434719
Africa_Northern,0.236862201280449
Africa_Southern,0.779279288200903
Africa_Western,0.585238448836222
Australia_NZ,0.0220898105267355
Brazil,0.391259718786489
Canada,0.0307559820385065
Central America and Caribbean,0.533427993393093
Central Asia,0.263927970539905
China,0.972364380757421
EU-12,0.150981852499372
EU-15,0.107032504391542
Europe_Eastern,0.37033177140174
Europe_Non_EU,0.20174188321103
European Free Trade Association,0.0421954072377971
India ,0.66580219107829
Indonesia,0.609413364728042
Japan,0.63859649122807
Mexico,0.553684581490081
Middle East,0.314449759238623
Pakistan,0.681734455492991
Russia,0.126946930468624
South Africa,0.200537938607911
South America_Northern,0.678454531716405
South America_Southern,0.114087989024066
South Asia,0.827834227297825
South Korea,0.997342752914709
Southeast Asia,0.928180627172939
Taiwan,0
Argentina,0.215782351976382
Colombia,0.291989749548813
